sepal_length,sepal_width,petal_length,petal_width,species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
4.201543818618137,2.8509583069237614,1.1603860949591698,0.41010143973357155,setosa
5.369105630445873,3.4531423508479526,1.4214637985931748,0.20128186656874614,setosa
5.719761916465025,3.987515420499225,1.4102302706544758,0.2596293853953595,setosa
4.453374362617613,3.1243635890773525,1.2469958322796797,0.06294865125598009,setosa
4.75542745996156,3.4560926743434197,1.4101861973244494,0.052375411650039866,setosa
5.1630698479034605,3.618250179065484,1.5445707956593637,0.16541739740833464,setosa
4.464789583378337,3.1079553128155095,1.3319709125083699,0.11318992161844793,setosa
5.890941327828029,3.804130997387023,1.7537143230390462,0.5533654171747486,setosa
4.97251093000201,3.2998112395619272,1.3233412408056047,0.15177346535166436,setosa
5.10576591205872,3.6237760365503853,1.5405554575408642,0.3058658560374891,setosa
5.446914282376002,3.5186511013957915,1.722482266973181,0.0496178484233242,setosa
5.31497685258038,3.3189885692235497,1.484852940506623,0.5783499676410395,setosa
5.048381199537224,3.0091124503970885,1.1106190767936255,0.516201177418238,setosa
5.083641234982065,3.3485212621244473,1.5393341558347076,0.5768959989291083,setosa
5.007946331394388,3.1793564248437765,1.9550187536056653,0.12166048449583278,setosa
4.736712146563788,3.536310909976222,1.5878360434621983,0.12963108579102842,setosa
5.653204204802255,3.038267994268511,4.102919508818262,1.545200243973953,versicolor
6.160087478986356,3.3739606517617435,4.2996712522807945,1.297906571107894,versicolor
5.621301157518691,2.937274445684783,3.5806502165482277,1.6199265094647313,versicolor
5.938694096239062,2.770563231859066,3.8853670643973963,1.010797829678671,versicolor
4.578901085683308,2.710383632626137,3.279185499491324,0.8282515994106322,versicolor
6.024902683995148,3.539919229500181,4.993369116667933,1.7911718736222169,versicolor
5.648151252210967,2.768917750089232,4.435068478741984,1.7130958714194744,versicolor
6.360733298989274,2.2405479251441807,4.863994457378917,1.1437990854210216,versicolor
6.2160844630337255,2.729679661162136,4.811671210805044,1.5908773095318307,versicolor
4.942567097964213,2.0083665089878497,3.6837120756718322,1.1576414002864595,versicolor
4.940975372851964,2.0121775178006316,3.3220474511228617,0.7681487012155587,versicolor
5.674033286289935,2.8486322631924708,4.618169589391569,1.0604126624305656,versicolor
6.272353130067375,3.2620949713237293,4.413546912882122,1.5031789168227243,versicolor
5.297282698712119,2.5047896520546717,4.20316012361677,1.452535321965865,versicolor
6.0355607886608675,3.0656262402206744,4.576254946706572,1.0999484899006355,versicolor
6.759814742114117,3.069808590996854,5.012350035060348,1.1179852204841598,versicolor
5.909788545684158,3.215473772139887,5.062829346528567,1.9176344958541527,virginica
6.801154595485582,2.5868099222970944,5.873081737764848,1.9626334196444766,virginica
5.7981904901521855,2.68845007456791,5.346600244752139,2.682142119160192,virginica
5.897342676191576,2.7366733917242043,5.128289373205341,1.6783083480117136,virginica
7.287282161641596,2.665465439508002,6.284685102275737,1.842362644850818,virginica
7.120664542012166,3.07767805422868,5.766592125242785,2.224291404412593,virginica
6.166060132693807,2.810665080568137,4.922194189593825,2.0877166075150093,virginica
7.788681279070795,2.742864882605812,7.044224134895922,2.347733710215024,virginica
8.104625128010209,3.015509470207969,6.89290446080886,1.8739768940278168,virginica
6.431823851239897,2.941855050079812,4.841413058847299,2.1239392445416985,virginica
6.52787195248732,3.270866021210016,5.359803916220428,2.0021313287231197,virginica
6.368917268383139,2.2402720903970215,4.835637637191536,1.8586066097860638,virginica
7.668782767788366,2.8228503240167653,6.185941713667338,2.5402646441434094,virginica
7.076652131285247,3.259529500128424,5.473421994939287,2.2424925094682644,virginica
6.215288281605573,2.3419549191629137,4.807653972068481,1.9330722494937163,virginica
7.276848576084912,3.1656897816748235,6.0811407608659955,1.9567411713864717,virginica
